Cod_setor,Cod_Grandes Regiġes,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
270010205000001,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),1,0,315,1188,3,77,3,71,633,74,1027296,86,715,51,1101608,13,348,69,483897,6,610,98,687991,4
270010205000002,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),1,0,222,886,3,99,3,67,773,12,2557431,8,853,9,2756644,1,402,86,1034747,3,700,1591282,25,
270010205000003,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),1,0,276,1083,3,92,2,8,514,72,239644,4,591,93,229848,7,293,6,177168,93,519,13,196520,18
270010205000004,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),5,0,77,265,3,44,2,59,503,38,216690,66,625,16,192592,7,303,83,168778,576,76,162925,33,
270010205000005,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,270,1244,4,61,6,34,304,49,62000,85,362,17,52815,26,178,1,56646,59,363,82,48128,51
270010205000006,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,151,608,4,3,5,41,383,19,110176,82,445,8,100348,64,202,99,78536,18,376,54,80341,23
270010205000007,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,29,112,3,86,3,19,183,17,77526,15,482,91,57853,9,115,9,44869,73,348,88,54759,66
270010205000008,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,119,573,4,82,6,36,201,71,82833,38,452,89,72023,91,115,38,51470,4,353,39,73693,54
270010205000009,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,345,1425,4,13,5,8,434,8,121797,82,482,33,112155,16,252,8,98206,97,397,76,96859,17
270010205000010,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,388,1860,4,79,8,66,277,98,83859,93,345,69,80870,36,151,42,55212,2,314,57,63392,21
270010205000011,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,306,1262,4,12,4,44,346,92,80465,98,383,24,74950,84,247,55,86953,84,380,39,83078,15
