Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
270430205060001,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,268,796,2,97,1,66,6477,5,42003064,36,6971,76,41761235,37,3508,8,26816819,3,5259,5,30997962,52
270430205060002,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,299,935,3,13,2,4,5209,19,43522124,33,5297,78,43793882,4,2711,16,21457466,6,3636,4,25422010,76
270430205060003,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,175,490,2,8,1,57,4238,33,16354685,97,4694,35,15971212,5,2712,88,13246406,93,4078,55,14348456,4
270430205060004,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,310,881,2,84,1,64,4755,35,143511031,76,5302,73,157176847,7,3573,5,70369133,69,4565,9,85414430,43
270430205060005,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,380,1044,2,75,1,56,3838,45,9456643,8,4155,59,8918538,19,2824,99,9997667,27,3707,54,9848719,54
270430205060006,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,287,767,2,67,2,3,4348,75,56587431,74,4745,6,59880561,93,2607,94,40779946,69,3642,59,53215143,16
270430205060007,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,333,976,2,93,1,45,5874,17,20250768,16,6093,76,19667829,84,3341,39,17634456,77,4773,41,18357648,65
270430205060008,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,246,734,2,98,2,3,3654,69,10181721,55,3825,76,10003078,53,2119,51,8404611,63,3058,94,9257997,81
270430205060009,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,270,797,2,95,2,42,3739,91,13190904,64,4121,54,12963107,59,2254,67,10300719,4,3344,73,11637604,3
270430205060010,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27011,Maceió,13,RM Maceió,2704302,Maceió,270430205,Maceió,27043020506,PRIMEIRA REGIÃO,2704302038,Ponta Verde,1,0,187,473,2,53,1,68,4909,49,15760026,76,5276,29,14997768,98,3005,24,12980914,15,4132,21,13192584,68
