Cod_setor,maior_parte
270430205060001,Homens
270430205060002,Homens
270430205060003,Mulheres
270430205060004,Mulheres
270430205060005,Mulheres
270430205060006,Homens
270430205060007,Homens
270430205060008,Mulheres
270430205060009,Mulheres
270430205060010,Mulheres
270430205060011,Mulheres
270430205060012,Homens
270430205060013,Mulheres
270430205060014,Homens
270430205060015,Homens
270430205060016,Homens
270430205060017,Homens
270430205060018,Homens
270430205060019,Homens
270430205060020,Mulheres
270430205060021,Homens
270430205060022,Mulheres
270430205060023,Homens
270430205060024,Homens
270430205060025,Mulheres
270430205060026,Homens
270430205060027,Mulheres
270430205060028,Mulheres
270430205060029,Homens
270430205060030,Homens
270430205060031,Homens
270430205060032,Homens
270430205060033,Homens
270430205060034,Mulheres
270430205060035,Igual
270430205060036,Mulheres
270430205060037,Igual
270430205060038,Mulheres
270430205060039,Mulheres
270430205060040,Homens
270430205060041,Mulheres
270430205060042,Homens
270430205060043,Mulheres
270430205060044,Homens
270430205060045,Mulheres
270430205060046,Homens
270430205060047,Homens
270430205060048,Mulheres
270430205060049,Mulheres
270430205060050,Mulheres
270430205060051,Mulheres
270430205060052,Mulheres
270430205060053,Homens
270430205060054,Homens
270430205060055,Homens
270430205060056,Homens
270430205060057,Mulheres
270430205060058,Mulheres
270430205060059,Mulheres
270430205060060,Homens
270430205060061,Mulheres
270430205060062,Mulheres
270430205060063,Mulheres
270430205060064,Mulheres
270430205060065,Mulheres
270430205060066,Mulheres
270430205060067,Homens
270430205060068,Homens
270430205060069,Homens
270430205060070,Homens
270430205060071,Mulheres
270430205060072,Mulheres
270430205060073,Homens
270430205060074,Mulheres
270430205060075,Homens
270430205060076,Homens
270430205060077,Homens
270430205060078,Homens
270430205060079,Homens
270430205060080,Homens
270430205060081,Homens
270430205060082,Homens
270430205060083,Homens
270430205060084,Homens
270430205060085,Mulheres
270430205060086,Homens
270430205060087,Mulheres
270430205060088,Homens
270430205060089,Homens
270430205060090,Homens
270430205060091,Mulheres
270430205060092,Homens
270430205060093,Homens
270430205060094,Homens
270430205060095,Homens
270430205060096,Homens
270430205060097,Homens
270430205060098,Mulheres
270430205060099,Homens
270430205060100,Homens
270430205060101,Homens
270430205060102,Homens
270430205060103,Mulheres
270430205060104,Igual
270430205060105,Igual
270430205060106,Homens
270430205060107,Mulheres
270430205060108,Homens
270430205060109,Mulheres
270430205060110,Homens
270430205060111,Homens
270430205060112,Homens
270430205060113,Homens
270430205060114,Homens
270430205060115,Homens
270430205060116,Homens
270430205060117,Mulheres
270430205060118,Homens
270430205060119,Homens
270430205060120,Homens
270430205060121,Mulheres
270430205060122,Homens
270430205070001,Igual
270430205070002,Homens
270430205070003,Homens
270430205070004,Igual
270430205070005,Homens
270430205070006,Mulheres
270430205070007,Mulheres
270430205070008,Homens
270430205070009,Homens
270430205070010,Homens
270430205070011,Homens
270430205070012,Homens
270430205070013,Homens
270430205070014,Homens
270430205070015,Homens
270430205070016,Mulheres
270430205070017,Mulheres
270430205070018,Mulheres
270430205070019,Homens
270430205070020,Homens
270430205070021,Homens
270430205070022,Homens
270430205070023,Igual
270430205070024,Homens
270430205070025,Homens
270430205070026,Homens
270430205070027,Homens
270430205070028,Homens
270430205070029,Mulheres
270430205070030,Homens
270430205070031,Mulheres
270430205070032,Homens
270430205070033,Mulheres
270430205070034,Mulheres
270430205070035,Mulheres
270430205070036,Homens
270430205070037,Homens
270430205070038,Homens
270430205070039,Mulheres
270430205070040,Homens
270430205070041,Homens
270430205070042,Mulheres
270430205070043,Homens
270430205070044,Homens
270430205070045,Homens
270430205070046,Homens
270430205070047,Mulheres
270430205070048,Homens
270430205070049,Homens
270430205070050,Mulheres
270430205070051,Homens
270430205070052,Homens
270430205070053,Homens
270430205070054,Mulheres
270430205070055,Mulheres
270430205070056,Mulheres
270430205070057,Homens
270430205070058,Homens
270430205070059,Homens
270430205070060,Mulheres
270430205070061,Homens
270430205070062,Mulheres
270430205070063,Mulheres
270430205070064,Homens
270430205070065,Homens
270430205070066,Homens
270430205070067,Mulheres
270430205070068,Homens
270430205070069,Homens
270430205070070,Mulheres
270430205070071,Mulheres
270430205070072,Homens
270430205070073,Mulheres
270430205070074,Mulheres
270430205070075,Mulheres
270430205070076,Mulheres
270430205070077,Homens
270430205070078,Homens
270430205070079,Mulheres
270430205070080,Homens
270430205070081,Homens
270430205070082,Homens
270430205070083,Homens
270430205070084,Mulheres
270430205070085,Homens
270430205070086,Homens
270430205070087,Homens
270430205070088,Homens
270430205070089,Homens
270430205070090,Homens
270430205070091,Homens
270430205070092,Homens
270430205070093,Mulheres
270430205070094,Homens
270430205070095,Mulheres
270430205070096,Homens
270430205070097,Homens
270430205070098,Homens
270430205070099,Mulheres
270430205070100,Homens
270430205070101,Homens
270430205070102,Homens
270430205070103,Homens
270430205070104,Homens
270430205070105,Mulheres
270430205070106,Igual
270430205070107,Homens
270430205070108,Homens
270430205070109,Homens
270430205070110,Mulheres
270430205070111,Mulheres
270430205070112,Mulheres
270430205070113,Homens
270430205070114,Homens
270430205070115,Homens
270430205070116,Homens
270430205070117,Homens
270430205070118,Homens
270430205070119,Homens
270430205080001,Mulheres
270430205080002,Homens
270430205080003,Homens
270430205080004,Homens
270430205080005,Homens
270430205080006,Homens
270430205080007,Homens
270430205080008,Mulheres
270430205080009,Homens
270430205080010,Homens
270430205080011,Mulheres
270430205080012,Homens
270430205080013,Homens
270430205080014,Homens
270430205080015,Mulheres
270430205080016,Homens
270430205080017,Homens
270430205080018,Homens
270430205080019,Mulheres
270430205080020,Homens
270430205080021,Mulheres
270430205080022,Mulheres
270430205080023,Mulheres
270430205080024,Mulheres
270430205080025,Igual
270430205080026,Homens
270430205080027,Homens
270430205080028,Homens
270430205080029,Mulheres
270430205080030,Homens
270430205080031,Homens
270430205080032,Mulheres
270430205080033,Homens
270430205080034,Homens
270430205080035,Mulheres
270430205080036,Mulheres
270430205080037,Mulheres
270430205080038,Homens
270430205080039,Igual
270430205080040,Homens
270430205080041,Homens
270430205080042,Homens
270430205080043,Mulheres
270430205080044,Mulheres
270430205080045,Mulheres
270430205080046,Homens
270430205080047,Homens
270430205080048,Mulheres
270430205080049,Mulheres
270430205080050,Homens
270430205080051,Mulheres
270430205080052,Homens
270430205080053,Mulheres
270430205080054,Homens
270430205080055,Homens
270430205080056,Homens
270430205080057,Homens
270430205080058,Homens
270430205080059,Homens
270430205080060,Mulheres
270430205080061,Homens
270430205080062,Homens
270430205080063,Homens
270430205080064,Homens
270430205080065,Homens
270430205080066,Mulheres
270430205080067,Mulheres
270430205080068,Homens
270430205080069,Homens
270430205080070,Homens
270430205080071,Homens
270430205080072,Homens
270430205080073,Homens
270430205080074,Homens
270430205080075,Mulheres
270430205080076,Homens
270430205080077,Homens
270430205080078,Homens
270430205080079,Homens
270430205080080,Homens
270430205080081,Homens
270430205080082,Mulheres
270430205080083,Homens
270430205080084,Mulheres
270430205080085,Mulheres
